v1, v2, dup lines, len_v1, len_v2, measure
1.0, 1.0.1, 2673, 5173, 5173, 0.2583607191184999
1.0, 1.0.2, 2651, 5173, 6779, 0.22180388219544847
1.0, 1.0.3, 2714, 5173, 6606, 0.2304100517870787
1.0, 1.0.4, 2415, 5173, 6969, 0.19889639268654258
1.0, 1.1, 617, 5173, 6217, 0.054170324846356456
1.0, 1.1.1, 637, 5173, 6259, 0.05572078376487054
1.0, 1.1.2, 637, 5173, 6430, 0.054899594932345086
1.0, 1.1.3, 244, 5173, 6860, 0.020277570015789913
1.0, 1.1.3.1, 244, 5173, 6864, 0.020270831602558777
1.0, 1.1.4, 243, 5173, 7389, 0.019344053494666454
1.0, 1.10.0, 0, 5173, 7812, 0.0
1.0, 1.10.1, 0, 5173, 7809, 0.0
1.0, 1.10.2, 0, 5173, 7817, 0.0
1.0, 1.11.0, 82, 5173, 21947, 0.003023598820058997
1.0, 1.11.1, 98, 5173, 21927, 0.003616236162361624
1.0, 1.11.2, 98, 5173, 21970, 0.0036105073131194047
1.0, 1.11.3, 98, 5173, 21975, 0.0036098423456608223
1.0, 1.12.0, 20, 5173, 9521, 0.0013610997686130393
1.0, 1.12.1, 20, 5173, 9520, 0.0013611924045463827
1.0, 1.12.2, 20, 5173, 9507, 0.0013623978201634877
1.0, 1.12.3, 20, 5173, 9500, 0.0013630477748245075
1.0, 1.12.4, 20, 5173, 9494, 0.001363605372605168
1.0, 1.2, 75, 5173, 2966, 0.009214891264283081
1.0, 1.2.1, 75, 5173, 2993, 0.009184423218221896
1.0, 1.2.2, 0, 5173, 3383, 0.0
1.0, 1.2.3, 0, 5173, 3408, 0.0
1.0, 1.2.4, 0, 5173, 3546, 0.0
1.0, 1.2.5, 0, 5173, 3546, 0.0
1.0, 1.2.6, 0, 5173, 3551, 0.0
1.0, 1.3, 14, 5173, 4243, 0.0014868309260832626
1.0, 1.3.0, 14, 5173, 4243, 0.0014868309260832626
1.0, 1.3.1, 14, 5173, 4243, 0.0014868309260832626
1.0, 1.3.2, 36, 5173, 4377, 0.003769633507853403
1.0, 1.4, 33, 5173, 4949, 0.003260225251926497
1.0, 1.4.0, 33, 5173, 4949, 0.003260225251926497
1.0, 1.4.1, 33, 5173, 5024, 0.003236245954692557
1.0, 1.4.2, 33, 5173, 5184, 0.003186250844839239
1.0, 1.4.3, 0, 5173, 5729, 0.0
1.0, 1.4.4, 0, 5173, 5863, 0.0
1.0, 1.5, 0, 5173, 6801, 0.0
1.0, 1.5.0, 0, 5173, 6801, 0.0
1.0, 1.5.1, 0, 5173, 6931, 0.0
1.0, 1.5.2, 0, 5173, 6975, 0.0
