v1, v2, dup lines, v1_lines, v2_lines
1.0, 1.0, 400, 1202, 1202
1.0, 1.0.1, 400, 1202, 1202
1.0, 1.0.2, 358, 1202, 1383
1.0, 1.0.3, 358, 1202, 1304
1.0, 1.0.4, 310, 1202, 2131
1.0, 1.1, 67, 1202, 2536
1.0, 1.1.1, 67, 1202, 2563
1.0, 1.1.2, 67, 1202, 2629
1.0, 1.1.3, 67, 1202, 2937
1.0, 1.1.3.1, 67, 1202, 2939
1.0, 1.1.4, 67, 1202, 3284
1.0, 1.2, 0, 1202, 1942
1.0, 1.2.1, 0, 1202, 1958
1.0.1, 1.0, 400, 1202, 1202
1.0.1, 1.0.1, 400, 1202, 1202
1.0.1, 1.0.2, 358, 1202, 1383
1.0.1, 1.0.3, 358, 1202, 1304
1.0.1, 1.0.4, 310, 1202, 2131
1.0.1, 1.1, 67, 1202, 2536
1.0.1, 1.1.1, 67, 1202, 2563
1.0.1, 1.1.2, 67, 1202, 2629
1.0.1, 1.1.3, 67, 1202, 2937
1.0.1, 1.1.3.1, 67, 1202, 2939
1.0.1, 1.1.4, 67, 1202, 3284
1.0.1, 1.2, 0, 1202, 1942
1.0.1, 1.2.1, 0, 1202, 1958
1.0.2, 1.0, 531, 1383, 1202
1.0.2, 1.0.1, 531, 1383, 1202
1.0.2, 1.0.2, 572, 1383, 1383
1.0.2, 1.0.3, 572, 1383, 1304
1.0.2, 1.0.4, 478, 1383, 2131
1.0.2, 1.1, 177, 1383, 2536
1.0.2, 1.1.1, 177, 1383, 2563
1.0.2, 1.1.2, 177, 1383, 2629
1.0.2, 1.1.3, 93, 1383, 2937
1.0.2, 1.1.3.1, 93, 1383, 2939
1.0.2, 1.1.4, 93, 1383, 3284
1.0.2, 1.2, 0, 1383, 1942
1.0.2, 1.2.1, 0, 1383, 1958
1.0.3, 1.0, 536, 1304, 1202
1.0.3, 1.0.1, 536, 1304, 1202
1.0.3, 1.0.2, 580, 1304, 1383
1.0.3, 1.0.3, 580, 1304, 1304
1.0.3, 1.0.4, 495, 1304, 2131
1.0.3, 1.1, 185, 1304, 2536
1.0.3, 1.1.1, 185, 1304, 2563
1.0.3, 1.1.2, 185, 1304, 2629
1.0.3, 1.1.3, 101, 1304, 2937
1.0.3, 1.1.3.1, 101, 1304, 2939
1.0.3, 1.1.4, 101, 1304, 3284
1.0.3, 1.2, 0, 1304, 1942
1.0.3, 1.2.1, 0, 1304, 1958
1.0.4, 1.0, 518, 2131, 1202
1.0.4, 1.0.1, 518, 2131, 1202
1.0.4, 1.0.2, 562, 2131, 1383
1.0.4, 1.0.3, 562, 2131, 1304
1.0.4, 1.0.4, 551, 2131, 2131
1.0.4, 1.1, 327, 2131, 2536
1.0.4, 1.1.1, 327, 2131, 2563
1.0.4, 1.1.2, 411, 2131, 2629
1.0.4, 1.1.3, 241, 2131, 2937
1.0.4, 1.1.3.1, 241, 2131, 2939
1.0.4, 1.1.4, 210, 2131, 3284
1.0.4, 1.2, 0, 2131, 1942
1.0.4, 1.2.1, 0, 2131, 1958
1.1, 1.0, 100, 2536, 1202
1.1, 1.0.1, 100, 2536, 1202
1.1, 1.0.2, 137, 2536, 1383
1.1, 1.0.3, 137, 2536, 1304
1.1, 1.0.4, 315, 2536, 2131
1.1, 1.1, 549, 2536, 2536
1.1, 1.1.1, 549, 2536, 2563
1.1, 1.1.2, 542, 2536, 2629
1.1, 1.1.3, 502, 2536, 2937
1.1, 1.1.3.1, 502, 2536, 2939
1.1, 1.1.4, 378, 2536, 3284
1.1, 1.2, 100, 2536, 1942
1.1, 1.2.1, 100, 2536, 1958
1.1, 1.2.2, 25, 2536, 2092
1.1, 1.2.3, 25, 2536, 2116
1.1, 1.2.4, 25, 2536, 2197
1.1, 1.2.5, 25, 2536, 2197
1.1, 1.2.6, 25, 2536, 2200
1.1.1, 1.0, 100, 2563, 1202
1.1.1, 1.0.1, 100, 2563, 1202
1.1.1, 1.0.2, 137, 2563, 1383
1.1.1, 1.0.3, 137, 2563, 1304
1.1.1, 1.0.4, 315, 2563, 2131
1.1.1, 1.1, 551, 2563, 2536
1.1.1, 1.1.1, 567, 2563, 2563
1.1.1, 1.1.2, 560, 2563, 2629
1.1.1, 1.1.3, 506, 2563, 2937
1.1.1, 1.1.3.1, 506, 2563, 2939
1.1.1, 1.1.4, 394, 2563, 3284
1.1.1, 1.2, 100, 2563, 1942
1.1.1, 1.2.1, 100, 2563, 1958
1.1.1, 1.2.2, 25, 2563, 2092
1.1.1, 1.2.3, 25, 2563, 2116
1.1.1, 1.2.4, 25, 2563, 2197
1.1.1, 1.2.5, 25, 2563, 2197
1.1.1, 1.2.6, 25, 2563, 2200
1.1.2, 1.0, 103, 2629, 1202
1.1.2, 1.0.1, 103, 2629, 1202
1.1.2, 1.0.2, 136, 2629, 1383
1.1.2, 1.0.3, 136, 2629, 1304
1.1.2, 1.0.4, 447, 2629, 2131
1.1.2, 1.1, 567, 2629, 2536
1.1.2, 1.1.1, 567, 2629, 2563
1.1.2, 1.1.2, 673, 2629, 2629
1.1.2, 1.1.3, 562, 2629, 2937
1.1.2, 1.1.3.1, 562, 2629, 2939
1.1.2, 1.1.4, 497, 2629, 3284
1.1.2, 1.2, 101, 2629, 1942
1.1.2, 1.2.1, 101, 2629, 1958
1.1.2, 1.2.2, 26, 2629, 2092
1.1.2, 1.2.3, 26, 2629, 2116
1.1.2, 1.2.4, 26, 2629, 2197
1.1.2, 1.2.5, 26, 2629, 2197
1.1.2, 1.2.6, 26, 2629, 2200
1.1.3, 1.0, 102, 2937, 1202
1.1.3, 1.0.1, 102, 2937, 1202
1.1.3, 1.0.2, 102, 2937, 1383
1.1.3, 1.0.3, 102, 2937, 1304
1.1.3, 1.0.4, 253, 2937, 2131
1.1.3, 1.1, 638, 2937, 2536
1.1.3, 1.1.1, 638, 2937, 2563
1.1.3, 1.1.2, 638, 2937, 2629
1.1.3, 1.1.3, 677, 2937, 2937
1.1.3, 1.1.3.1, 677, 2937, 2939
1.1.3, 1.1.4, 619, 2937, 3284
1.1.3, 1.2, 362, 2937, 1942
1.1.3, 1.2.1, 362, 2937, 1958
1.1.3, 1.2.2, 210, 2937, 2092
1.1.3, 1.2.3, 210, 2937, 2116
1.1.3, 1.2.4, 184, 2937, 2197
1.1.3, 1.2.5, 184, 2937, 2197
1.1.3, 1.2.6, 184, 2937, 2200
1.1.3.1, 1.0, 114, 2939, 1202
1.1.3.1, 1.0.1, 114, 2939, 1202
1.1.3.1, 1.0.2, 114, 2939, 1383
1.1.3.1, 1.0.3, 114, 2939, 1304
1.1.3.1, 1.0.4, 265, 2939, 2131
1.1.3.1, 1.1, 639, 2939, 2536
1.1.3.1, 1.1.1, 639, 2939, 2563
1.1.3.1, 1.1.2, 639, 2939, 2629
1.1.3.1, 1.1.3, 665, 2939, 2937
1.1.3.1, 1.1.3.1, 665, 2939, 2939
1.1.3.1, 1.1.4, 630, 2939, 3284
1.1.3.1, 1.2, 362, 2939, 1942
1.1.3.1, 1.2.1, 362, 2939, 1958
1.1.3.1, 1.2.2, 210, 2939, 2092
1.1.3.1, 1.2.3, 210, 2939, 2116
1.1.3.1, 1.2.4, 184, 2939, 2197
1.1.3.1, 1.2.5, 184, 2939, 2197
1.1.3.1, 1.2.6, 184, 2939, 2200
1.1.4, 1.0, 117, 3284, 1202
1.1.4, 1.0.1, 117, 3284, 1202
1.1.4, 1.0.2, 117, 3284, 1383
1.1.4, 1.0.3, 117, 3284, 1304
1.1.4, 1.0.4, 153, 3284, 2131
1.1.4, 1.1, 406, 3284, 2536
1.1.4, 1.1.1, 411, 3284, 2563
1.1.4, 1.1.2, 421, 3284, 2629
1.1.4, 1.1.3, 573, 3284, 2937
1.1.4, 1.1.3.1, 573, 3284, 2939
1.1.4, 1.1.4, 671, 3284, 3284
1.1.4, 1.2, 288, 3284, 1942
1.1.4, 1.2.1, 288, 3284, 1958
1.1.4, 1.2.2, 155, 3284, 2092
1.1.4, 1.2.3, 155, 3284, 2116
1.1.4, 1.2.4, 141, 3284, 2197
1.1.4, 1.2.5, 141, 3284, 2197
1.1.4, 1.2.6, 141, 3284, 2200
1.10.0, 1.10.0, 878, 5322, 5322
1.10.0, 1.10.1, 878, 5322, 5318
1.10.0, 1.10.2, 878, 5322, 5325
1.10.0, 1.11.0, 870, 5322, 15110
1.10.0, 1.11.1, 870, 5322, 15088
1.10.0, 1.11.2, 870, 5322, 15107
1.10.0, 1.11.3, 870, 5322, 15107
1.10.0, 1.12.0, 795, 5322, 6336
1.10.0, 1.12.1, 795, 5322, 6335
1.10.0, 1.12.2, 795, 5322, 6328
1.10.0, 1.12.3, 795, 5322, 6323
1.10.0, 1.12.4, 795, 5322, 6323
1.10.0, 1.4, 29, 5322, 3296
1.10.0, 1.4.0, 29, 5322, 3296
1.10.0, 1.4.1, 61, 5322, 3349
1.10.0, 1.4.2, 61, 5322, 3455
1.10.0, 1.4.3, 112, 5322, 3790
1.10.0, 1.4.4, 112, 5322, 3890
1.10.0, 1.5, 129, 5322, 4379
1.10.0, 1.5.0, 129, 5322, 4379
1.10.0, 1.5.1, 202, 5322, 4447
1.10.0, 1.5.2, 202, 5322, 4479
1.10.0, 1.6, 228, 5322, 4867
1.10.0, 1.6.0, 228, 5322, 4867
